House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
38,Yellowditch Drive,Rita,Reed,22,Daughter,Divorced,Female,University Student,None,Christian
38,Yellowditch Drive,Conor,Reed,3,Son,NA,Male,Child,None,NA
39,Yellowditch Drive,Maureen,Gray,33,Head,Widowed,Female,Unemployed,None,Sikh
39,Yellowditch Drive,Carly,Gray,5,Daughter,NA,Female,Student,None,NA
39,Yellowditch Drive,Alexander,Gray,3,Son,NA,Male,Child,None,NA
39,Yellowditch Drive,Jamie,Bishop,30,Lodger,Single,Male,Ophthalmologist,None,None
39,Yellowditch Drive,Clive,Stokes,34,Visitor,Single,Male,Retail banker,None,None
40,Yellowditch Drive,Tracey,Law,37,Head,Single,Female,Manufacturing engineer,None,Catholic
40,Yellowditch Drive,Elliott,Law,7,Son,NA,Male,Student,None,NA
40,Yellowditch Drive,Russell,Law,6,Son,NA,Male,Student,None,NA
40,Yellowditch Drive,Kirsty,Law,3,Daughter,NA,Female,Child,None,NA
41,Yellowditch Drive,Rosemary,Taylor,47,Head,Single,Female,Hydrologist,None,None
41,Yellowditch Drive,Frederick,Evans,53,Partner,Single,Male,Counsellor,None,None
41,Yellowditch Drive,Joyce,Taylor,20,Daughter,Single,Female,University Student,None,None
41,Yellowditch Drive,Gordon,Fry,14,Son,NA,Male,Student,None,NA
42,Yellowditch Drive,Chelsea,Booth,49,Head,Married,Female,Environmental manager,None,None
42,Yellowditch Drive,Stewart,Booth,51,Husband,Married,Male,Dealer,None,None
42,Yellowditch Drive,Sophie,Booth,16,Daughter,NA,Female,Student,None,NA
43,Yellowditch Drive,Eric,Hunter,43,Head,Married,Male,"Therapist, speech and language",None,None
43,Yellowditch Drive,Hayley,Hunter,41,Wife,Married,Female,"Designer, exhibition/display",None,None
43,Yellowditch Drive,Patricia,Hunter,22,Daughter,Single,Female,University Student,None,None
43,Yellowditch Drive,Bernard,Hunter,4,Son,NA,Male,Child,None,NA
44,Yellowditch Drive,Tom,Turner,40,Head,Single,Male,Games developer,None,Catholic
44,Yellowditch Drive,Angela,Smith,38,Partner,Single,Female,Mental health nurse,None,Catholic
44,Yellowditch Drive,Geoffrey,Turner,2,Son,NA,Male,Child,None,NA
44,Yellowditch Drive,Abdul,Turner,0,Son,NA,Male,Child,None,NA
44,Yellowditch Drive,Jamie,Vaughan,37,Sibling,Divorced,Male,Advertising art director,None,Catholic
44,Yellowditch Drive,Robert,Phillips,49,Sibling,Single,Male,"Lecturer, higher education",None,Christian
45,Yellowditch Drive,Alison,Rose,42,Head,Single,Female,"Psychologist, forensic",None,Christian
45,Yellowditch Drive,Malcolm,Marshall,43,Partner,Single,Male,"Engineer, maintenance",None,Christian
45,Yellowditch Drive,Anthony,Rose,11,Son,NA,Male,Student,None,NA
45,Yellowditch Drive,Aimee,Rose,11,Daughter,NA,Female,Student,None,NA
46,Yellowditch Drive,Carly,Griffiths,36,Head,Married,Female,Waste management officer,None,Christian
46,Yellowditch Drive,Scott,Griffiths,33,Husband,Married,Male,Adult nurse,None,Christian
46,Yellowditch Drive,Jennifer,Griffiths,4,Daughter,NA,Female,Child,None,NA
46,Yellowditch Drive,Dennis,Griffiths,0,Son,NA,Male,Child,None,NA
47,Yellowditch Drive,Charlotte,Baker,46,Head,Single,Female,Unemployed,None,None
47,Yellowditch Drive,Kathleen,Baker,28,Daughter,Single,Female,Unemployed,None,None
47,Yellowditch Drive,Dylan,Baker,25,Son,Divorced,Male,Exhibition designer,None,None
48,Yellowditch Drive,Lauren,Freeman,36,Head,Married,Female,"Designer, multimedia",None,Christian
48,Yellowditch Drive,Reece,Freeman,36,Husband,Married,Male,Astronomer,None,Christian
48,Yellowditch Drive,Jeffrey,Freeman,12,Son,NA,Male,Student,None,NA
48,Yellowditch Drive,Malcolm,Freeman,9,Son,NA,Male,Student,None,NA
48,Yellowditch Drive,Phillip,Freeman,8,Son,NA,Male,Student,None,NA
49,Yellowditch Drive,Hollie,Walker,47,Head,Married,Female,Commercial horticulturist,None,Christian
49,Yellowditch Drive,Maurice,Walker,44,Husband,Married,Male,Materials engineer,None,None
49,Yellowditch Drive,Sally,Walker,20,Daughter,Single,Female,University Student,None,Christian
49,Yellowditch Drive,Joe,Walker,20,Son,Single,Male,University Student,None,Christian
49,Yellowditch Drive,Lynda,Walker,19,Daughter,Single,Female,University Student,None,Christian
49,Yellowditch Drive,Tracy,Walker,15,Daughter,NA,Female,Student,None,NA
50,Yellowditch Drive,Helen,Ryan,48,Head,Married,Female,Video editor,None,Catholic
50,Yellowditch Drive,Geoffrey,Ryan,49,Husband,Married,Male,Unemployed,None,Catholic
50,Yellowditch Drive,Jenna,Ryan,19,Daughter,Divorced,Female,University Student,None,Catholic
51,Yellowditch Drive,Emma,Norris,65,Head,Married,Female,Unemployed,None,Christian
51,Yellowditch Drive,Callum,Norris,64,Husband,Married,Male,Dramatherapist,None,None
51,Yellowditch Drive,Michael,Norris,34,Son,Divorced,Male,Mental health nurse,None,Christian
51,Yellowditch Drive,Lauren,Norris,30,Daughter,Single,Female,IT trainer,None,Christian
52,Yellowditch Drive,Jordan,Jones,39,Head,Married,Male,Planning and development surveyor,None,Christian
52,Yellowditch Drive,Wendy,Holmes,33,Wife,Married,Female,Film/video editor,None,Christian
52,Yellowditch Drive,Gareth,Jones,2,Son,NA,Male,Child,None,NA
52,Yellowditch Drive,Paul,Morley,23,Lodger,Single,Male,Unemployed,None,Sikh
53,Yellowditch Drive,Emma,Mills,53,Head,Single,Female,"Production designer, theatre/television/film",None,Christian
53,Yellowditch Drive,Albert,Burton,56,Partner,Single,Male,Advertising account planner,None,Christian
53,Yellowditch Drive,Dennis,Mills,27,Son,Divorced,Male,Ergonomist,None,Christian
53,Yellowditch Drive,Julia,Mills,13,Daughter,NA,Female,Student,None,NA
54,Yellowditch Drive,Antony,Ball,20,Head,Single,Male,University Student,None,Catholic
54,Yellowditch Drive,Gregory,Hall,23,None,Single,Male,Osteopath,None,None
54,Yellowditch Drive,Georgia,Lyons,18,None,Single,Female,Student,None,NA
54,Yellowditch Drive,Amanda,John,18,None,Single,Female,Student,None,NA
55,Yellowditch Drive,Damien,James-Ward,50,Head,Single,Male,Unemployed,None,Methodist
55,Yellowditch Drive,Eleanor,James-Ward,20,Daughter,Single,Female,University Student,None,Methodist
55,Yellowditch Drive,Josephine,James-Ward,16,Daughter,NA,Female,Student,None,NA
55,Yellowditch Drive,Scott,James-Ward,15,Son,NA,Male,Student,None,NA
1,Walton Greens,Aimee,Clarke,60,Head,Single,Female,"Scientist, physiological",None,Christian
2,Walton Greens,Julie,Roberts,75,Head,Married,Female,Retired Publishing copy,None,Catholic
2,Walton Greens,Joseph,Roberts,76,Husband,Married,Male,Retired Furniture designer,None,Catholic
3,Walton Greens,James,Hughes,38,Head,Single,Male,"Sound technician, broadcasting/film/video",None,Methodist
3,Walton Greens,Angela,Hall,38,Partner,Single,Female,Midwife,None,None
4,Walton Greens,Amanda,Taylor,64,Head,Divorced,Female,Social researcher,None,Christian
4,Walton Greens,Stewart,Taylor,34,Son,Single,Male,"Therapist, drama",None,None
4,Walton Greens,Craig,Taylor,30,Son,Single,Male,"Editor, magazine features",None,Christian
5,Walton Greens,Jane,Smith,87,Head,Divorced,Female,"Retired Therapist, sports",None,Methodist
6,Walton Greens,Lorraine,Clayton,71,Head,Married,Female,"Retired Therapist, horticultural",None,Christian
6,Walton Greens,Ricky,Clayton,73,Husband,Married,Male,"Retired Buyer, retail",None,Christian
6,Walton Greens,Jack,Clayton,7,Grandson,NA,Male,Student,None,NA
7,Walton Greens,Stewart,Lloyd,83,Head,Divorced,Male,Retired Materials engineer,None,None
8,Walton Greens,Beverley,Weston,84,Head,Married,Female,Retired Building surveyor,None,Methodist
8,Walton Greens,Maurice,Weston,86,Husband,Married,Male,Retired Furniture conservator/restorer,None,None
9,Walton Greens,Kenneth,Bryan,40,Head,Single,Male,Dispensing optician,None,Catholic
10,Walton Greens,Susan,Powell,80,Head,Married,Female,Retired Exercise physiologist,None,Catholic
10,Walton Greens,Brian,Powell,81,Husband,Married,Male,Retired Medical sales representative,None,Catholic
11,Walton Greens,Beverley,Baxter,30,Head,Married,Female,Manufacturing engineer,None,Methodist
11,Walton Greens,Rhys,Baxter,32,Husband,Married,Male,Hospital doctor,None,Methodist
11,Walton Greens,Gerald,Baxter,10,Son,NA,Male,Student,None,NA
12,Walton Greens,Gregory,Price,22,Head,Single,Male,University Student,None,Catholic
12,Walton Greens,Terence,Bishop,19,None,Single,Male,University Student,None,None
13,Walton Greens,John,Smith,89,Head,Married,Male,Retired Magazine journalist,None,Christian
13,Walton Greens,Irene,Smith,87,Wife,Married,Female,Retired Fisheries officer,None,Christian
14,Walton Greens,Sarah,Bennett,35,Head,Married,Female,Podiatrist,None,Catholic
14,Walton Greens,Shaun,Bennett,37,Husband,Married,Male,Insurance claims handler,None,Catholic
14,Walton Greens,Eric,Bennett,8,Son,NA,Male,Student,None,NA
15,Walton Greens,David,O'Neill,57,Head,Married,Male,Hospital pharmacist,None,Christian
15,Walton Greens,Zoe,O'Neill,58,Wife,Married,Female,"Horticulturist, commercial",None,None
16,Walton Greens,Ben,Robinson,80,Head,Widowed,Male,"Retired Engineer, civil (contracting)",None,None
17,Walton Greens,Angela,Wilson,26,Head,Divorced,Female,Civil Service administrator,None,None
17,Walton Greens,Angela,Wilson,0,Daughter,NA,Female,Child,None,NA
18,Walton Greens,Beth,Gregory,46,Head,Single,Female,Furniture conservator/restorer,None,Catholic
19,Walton Greens,Carole,Evans,46,Head,Single,Female,"Solicitor, Scotland",None,Catholic
20,Walton Greens,Deborah,Reeves,52,Head,Widowed,Female,Child psychotherapist,None,Catholic
20,Walton Greens,Leah,Reeves,14,Daughter,NA,Female,Student,None,NA
20,Walton Greens,Ellie,Reeves,12,Daughter,NA,Female,Student,None,NA
21,Walton Greens,Graham,Williams,74,Head,Widowed,Male,Retired Medical technical officer,None,Methodist
22,Walton Greens,Megan,Harris,77,Head,Single,Female,Retired Social worker,None,Christian
23,Walton Greens,Aaron,O'Sullivan,69,Head,Widowed,Male,Retired Advice worker,None,Christian
24,Walton Greens,Andrew,Kirk,43,Head,Single,Male,"Scientist, marine",None,Methodist
24,Walton Greens,Jacob,Harvey,62,None,Single,Male,Retail banker,None,Christian
24,Walton Greens,Martyn,Burrows,38,None,Single,Male,"Designer, jewellery",None,Christian
25,Walton Greens,Brett,Collins,58,Head,Single,Male,Unemployed,None,Christian
25,Walton Greens,Janice,Hicks,41,None,Single,Female,Economist,None,None
26,Walton Greens,Guy,North,87,Head,Widowed,Male,"Retired Surveyor, insurance",None,Christian
27,Walton Greens,Katy,Henry,62,Head,Single,Female,Unemployed,None,Christian
28,Walton Greens,Craig,Peters,58,Head,Single,Male,Site engineer,None,None
29,Walton Greens,Toby,Birch,61,Head,Single,Male,Commercial horticulturist,None,Christian
30,Walton Greens,Dennis,Holden,65,Head,Widowed,Male,Applications developer,None,Christian
1,Davies Valleys,Paula,Gibson,56,Head,Single,Female,Insurance risk surveyor,None,None
1,Davies Valleys,Joel,Gibson,35,Son,Divorced,Male,"Research officer, government",None,None
2,Davies Valleys,Stuart,Horton,69,Head,Widowed,Male,Retired Geophysical data processor,None,Christian
3,Davies Valleys,Holly,Clark,60,Head,Married,Female,Unemployed,None,Christian
3,Davies Valleys,Eric,Clark,67,Husband,Married,Male,Chief Executive Officer,None,Christian
3,Davies Valleys,Eleanor,Clark,24,Daughter,Single,Female,"Engineer, broadcasting (operations)",None,Christian
3,Davies Valleys,Mitchell,Clark,20,Son,Single,Male,University Student,None,None
3,Davies Valleys,Frank,Clark,12,Son,NA,Male,Student,None,NA
4,Davies Valleys,Liam,Kay,42,Head,Married,Male,Claims inspector/assessor,None,None
4,Davies Valleys,Linda,Kay,43,Wife,Married,Female,Teaching laboratory technician,None,None
4,Davies Valleys,Neil,Kay,16,Son,NA,Male,Student,None,NA
5,Davies Valleys,Valerie,Harris,32,Head,Single,Female,Unemployed,None,Muslim
5,Davies Valleys,Joe,Harris,13,Son,NA,Male,Student,None,NA
5,Davies Valleys,Abigail,Harris,11,Daughter,NA,Female,Student,None,NA
5,Davies Valleys,Aimee,Harris,9,Daughter,NA,Female,Student,None,NA
6,Davies Valleys,Lisa,Reed,36,Head,Single,Female,"Solicitor, Scotland",None,None
6,Davies Valleys,Mohamed,Poole,33,Partner,Single,Male,"Engineer, control and instrumentation",None,None
6,Davies Valleys,Ross,Bishop,6,Son,NA,Male,Student,None,NA
6,Davies Valleys,Roger,Bishop,4,Son,NA,Male,Child,None,NA
7,Davies Valleys,Victoria,Carr,51,Head,Married,Female,"Exhibitions officer, museum/gallery",None,Christian
7,Davies Valleys,Dylan,Carr,53,Husband,Married,Male,Toxicologist,None,Christian
7,Davies Valleys,Clive,Carr,11,Son,NA,Male,Student,None,NA
7,Davies Valleys,Josh,Carr,9,Son,NA,Male,Student,None,NA
7,Davies Valleys,Lauren,Carr,5,Daughter,NA,Female,Student,None,NA
8,Davies Valleys,Leanne,Morris,52,Head,Single,Female,Brewing technologist,None,Methodist
9,Davies Valleys,Emma,Adams,28,Head,Married,Female,Air traffic controller,None,Christian
9,Davies Valleys,Joe,Adams,30,Husband,Married,Male,"Engineer, electronics",None,None
9,Davies Valleys,Graeme,Harvey,27,Lodger,Single,Male,Government social research officer,None,Christian
9,Davies Valleys,Steven,Howard,36,Sibling,Single,Male,Homeopath,None,Christian
9,Davies Valleys,Maria,Jones,22,Lodger,Single,Female,University Student,None,Muslim
10,Davies Valleys,Vanessa,Smith,73,Head,Married,Female,Retired Furniture conservator/restorer,None,None
10,Davies Valleys,Ross,Smith,75,Husband,Married,Male,"Retired Designer, furniture",None,None
11,Davies Valleys,Elliot,Walker-Gibson,27,Head,Married,Male,Structural engineer,None,Methodist
11,Davies Valleys,Laura,Walker-Gibson,24,Wife,Married,Female,Advice worker,None,Methodist
12,Davies Valleys,Sheila,Marsh,33,Head,Married,Female,Ceramics designer,None,None
12,Davies Valleys,Denis,Marsh,35,Husband,Married,Male,"Scientist, marine",None,None
13,Davies Valleys,Philip,Thomas,70,Head,Married,Male,Retired Dancer,None,Christian
13,Davies Valleys,Naomi,Thomas,68,Wife,Married,Female,Retired Further education lecturer,None,None
14,Davies Valleys,Lydia,Doyle,69,Head,Married,Female,Retired English as a second language teacher,None,Catholic
14,Davies Valleys,Timothy,Doyle,74,Husband,Married,Male,Retired Environmental consultant,None,Catholic
15,Davies Valleys,Mitchell,Harrison,46,Head,Married,Male,"Psychologist, clinical",None,Christian
15,Davies Valleys,Aimee,Moore,44,Wife,Married,Female,Actor,None,Christian
16,Davies Valleys,Marie,Gibson,37,Head,Married,Female,Special effects artist,None,Catholic
16,Davies Valleys,Scott,Gibson,37,Husband,Married,Male,Television floor manager,None,Catholic
16,Davies Valleys,Clifford,Gibson,5,Son,NA,Male,Student,None,NA
17,Davies Valleys,William,Hunt,37,Head,Single,Male,Optometrist,None,Catholic
18,Davies Valleys,Shannon,Sutton,61,Head,Married,Female,Social worker,None,Christian
18,Davies Valleys,Thomas,Sutton,63,Husband,Married,Male,"Engineer, building services",None,Christian
18,Davies Valleys,Lynda,Sutton,22,Daughter,Single,Female,University Student,None,None
18,Davies Valleys,Melanie,Sutton,19,Daughter,Single,Female,University Student,None,Christian
19,Davies Valleys,Jonathan,Wilkins,42,Head,Single,Male,"Surveyor, planning and development",None,None
19,Davies Valleys,Judith,Curtis,46,None,Single,Female,Nature conservation officer,None,Christian
19,Davies Valleys,Keith,Williams,21,None,Single,Male,University Student,None,None
19,Davies Valleys,Jenna,Evans,49,None,Single,Female,Homeopath,None,Catholic
19,Davies Valleys,Neil,Parsons,62,None,Single,Male,Geophysicist/field seismologist,None,None
20,Davies Valleys,Joan,Norman,44,Head,Single,Female,"Surveyor, rural practice",None,Catholic
20,Davies Valleys,Maurice,Norman,17,Son,NA,Male,Student,None,NA
20,Davies Valleys,Naomi,Norman,14,Daughter,NA,Female,Student,None,NA
21,Davies Valleys,Charles,Ford,48,Head,Married,Male,Transport planner,None,Christian
21,Davies Valleys,Barbara,Ford,45,Wife,Married,Female,Retail manager,None,None
21,Davies Valleys,Aimee,Welch,15,Step-Daughter,NA,Female,Student,None,NA
21,Davies Valleys,Paige,Welch,13,Step-Daughter,NA,Female,Student,None,NA
21,Davies Valleys,Garry,Shepherd,13,Step-Son,NA,Male,Student,None,NA
22,Davies Valleys,Denis,Ford,61,Head,Single,Male,Press photographer,None,None
22,Davies Valleys,Neil,Davies,59,None,Single,Male,Special effects artist,None,Methodist
22,Davies Valleys,Leigh,Young,23,None,Single,Male,Financial adviser,None,None
23,Davies Valleys,Carolyn,Barrett,46,Head,Single,Female,Unemployed,None,None
23,Davies Valleys,Michael,Stevens,48,Partner,Single,Male,Tourist information centre manager,None,None
23,Davies Valleys,Stuart,Barrett,8,Son,NA,Male,Student,None,NA
24,Davies Valleys,Jane,James,18,Head,Single,Female,University Student,None,Christian
24,Davies Valleys,Alan,Watkins,21,None,Single,Male,University Student,None,Christian
25,Davies Valleys,Eleanor,Humphreys,30,Head,Married,Female,Unemployed,None,Christian
25,Davies Valleys,Karl,Humphreys,34,Husband,Married,Male,Company secretary,None,None
25,Davies Valleys,Leah,Dobson,22,Lodger,Single,Female,University Student,None,None
26,Davies Valleys,Reece,Bell,20,Head,Single,Male,University Student,None,Catholic
26,Davies Valleys,Maria,Dean,27,Partner,Single,Female,Further education lecturer,None,None
27,Davies Valleys,Kenneth,Hopkins,27,Head,Married,Male,Commercial/residential surveyor,None,None
27,Davies Valleys,Lynne,Hopkins,25,Wife,Married,Female,"Surveyor, mining",None,None
28,Davies Valleys,Joyce,Lynch,42,Head,Married,Female,Quantity surveyor,None,None
28,Davies Valleys,Stephen,Lynch,45,Husband,Married,Male,Unemployed,None,None
28,Davies Valleys,Francis,Lynch,12,Son,NA,Male,Student,None,NA
29,Davies Valleys,Sandra,Nicholson,58,Head,Married,Female,Visual merchandiser,None,Christian
